Year,Turkiye_Borrowing_Millions_USD,Global_IBRD_Commitments_Millions_USD,Turkiye_Share_of_Global_IBRD_Pct
2006,1020.4,14135,7.22
2007,1091.55,12829,8.51
2008,900.0,13468,6.68
2009,1125.12,32911,3.42
2010,2660.0,44197,6.02
2011,1450.0,26737,5.42
2012,600.0,20582,2.92
2013,1167.0,15249,7.65
2014,1150.0,18604,6.18
2015,424.89,23528,1.81
2016,832.77,29729,2.8
2017,400.0,22611,1.77
2018,1000.0,23002,4.35
2019,1010.6,23191,4.36
2020,1881.15,27976,6.72
2021,850.0,30523,2.78
2022,1464.14,33072,4.43
2023,1967.24,38572,5.1
2024,3571.7,37568,9.51
2025,3955.72,40885,9.68
